	PRODUTO	PREÇO	LOCALIDADE	PÁGINA NA LOJA
34	Casa em condomínio	R$900,00	Vitória da Conquista, São Pedro	https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/imoveis/casa-em-condominio-1373625098
35	Quarto/sala, mobiliado, academia - Pituba!	R$235.000,00	Salvador, Pituba	https://ba.olx.com.br/grande-salvador/imoveis/quarto-sala-mobiliado-academia-pituba-1373624445
36	Aluga-se	R$800,00	Salvador, Fazenda Grande III	https://ba.olx.com.br/grande-salvador/imoveis/aluga-se-1373622597
37	Excelente Apartamento 3/4 suítes vista mar - Hemisphere 360 Patamares	R$12.000,00	Salvador, Pituaçu	https://ba.olx.com.br/grande-salvador/imoveis/excelente-apartamento-3-4-suites-vista-mar-hemisphere-360-patamares-1373621649
38	Casa 2/4 Reserva Buriti condominio Club	R$190.000,00	Feira de Santana, Registro	https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/casa-2-4-reserva-buriti-condominio-club-1373621173
39	Apartamento 2 Quartos, Joana Angelica, Sala, Cozinha, 1 Banheiro, Quintal	R$1.500,00	Salvador, Nazaré	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-2-quartos-joana-angelica-sala-cozinha-1-banheiro-quintal-1355829605
40	CASA MOBILIADA PARA ALUGAR NO BAIRRO PIAÇAVEIRA	R$1.500,00	Camaçari, Piaçaveira	https://ba.olx.com.br/grande-salvador/imoveis/casa-mobiliada-para-alugar-no-bairro-piacaveira-1373621506
41	2/4 imbui Mobilliado Total : 3.800,00 com taxas	R$3.800,00	Salvador, Imbuí	https://ba.olx.com.br/grande-salvador/imoveis/2-4-imbui-mobilliado-total-3-800-00-com-taxas-1373621180
42	02 quartos, 92 m², vista espetacular para o mar - Corredor da Vitória!!	R$3.300,00	Salvador, Vitória	https://ba.olx.com.br/grande-salvador/imoveis/02-quartos-92-m-vista-espetacular-para-o-mar-corredor-da-vitoria-1373620219
43	Aluguel 2/4 São Cristóvão Áurea Sampaio incluso condomínio	R$1.650,00	Salvador, São Cristóvão	https://ba.olx.com.br/grande-salvador/imoveis/aluguel-2-4-sao-cristovao-aurea-sampaio-incluso-condominio-1370321996
44	O seu imóvel na praia	R$450,00	Mata de São João, Imbassaí	https://ba.olx.com.br/grande-salvador/imoveis/o-seu-imovel-na-praia-1373619778
45	Apartamento 1 Quarto Mobiliado Em 47M² E 1 Vaga De Garagem Na Ondina. H02KHF	R$3.900,00	Salvador, Ondina	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-1-quarto-mobiliado-em-47m-e-1-vaga-de-garagem-na-ondina-h02khf-1373619668
46	Apartamento Com 4 Suítes Em 255M² Com 4 Vagas De Garagem No Horto Florestal. 734KHF	R$7.280,00	Salvador, Horto Florestal	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-com-4-suites-em-255m-com-4-vagas-de-garagem-no-horto-florestal-734khf-1373619645
47	Apartamento 1 Quarto Mobiliado Em 47M² E 1 Vaga De Garagem Na Ondina. L8PBEH	R$3.900,00	Salvador, Ondina	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-1-quarto-mobiliado-em-47m-e-1-vaga-de-garagem-na-ondina-l8pbeh-1373619061
48	CARNAVAL 2025 - CIRCUITO BARRA/ONDINA - EDF. BARRALANDIA	R$20.000,00	Salvador, Barra	https://ba.olx.com.br/grande-salvador/imoveis/carnaval-2025-circuito-barra-ondina-edf-barralandia-1373619057
49	Apartamento 1 Quarto Mobiliado Em 47M² E 1 Vaga De Garagem Na Ondina. 1THUKHF	R$3.900,00	Salvador, Ondina	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-1-quarto-mobiliado-em-47m-e-1-vaga-de-garagem-na-ondina-1thukhf-1373618867
50	Casa 2/4 Reserva Buriti condominio Club	R$190.000,00	Feira de Santana, Registro	https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/casa-2-4-reserva-buriti-condominio-club-1373621173
51	Apartamento 2 Quartos, Joana Angelica, Sala, Cozinha, 1 Banheiro, Quintal	R$1.500,00	Salvador, Nazaré	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-2-quartos-joana-angelica-sala-cozinha-1-banheiro-quintal-1355829605
52	Aluguel 2/4 São Cristóvão Áurea Sampaio incluso condomínio	R$1.650,00	Salvador, São Cristóvão	https://ba.olx.com.br/grande-salvador/imoveis/aluguel-2-4-sao-cristovao-aurea-sampaio-incluso-condominio-1370321996
53	Alugo casa mobiliada em condomínio fechado no bairro Sim	R$4.500,00	Feira de Santana, Registro	https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/alugo-casa-mobiliada-em-condominio-fechado-no-bairro-sim-1373615107
54	CARNAVAL 2025 - CIRCUITO BARRA/ONDINA - EDF. BARRALANDIA	R$20.000,00	Salvador, Barra	https://ba.olx.com.br/grande-salvador/imoveis/carnaval-2025-circuito-barra-ondina-edf-barralandia-1373619057
55	Apartamento 1 Quarto Mobiliado Em 47M² E 1 Vaga De Garagem Na Ondina. 1THUKHF	R$3.900,00	Salvador, Ondina	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-1-quarto-mobiliado-em-47m-e-1-vaga-de-garagem-na-ondina-1thukhf-1373618867
56	Apartamento Vista Mar Com 1 Quarto Em 50M² E 1 Vaga De Garagem No Itaigara. 1NGHBEH	R$4.500,00	Salvador, Itaigara	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-vista-mar-com-1-quarto-em-50m-e-1-vaga-de-garagem-no-itaigara-1nghbeh-1373618746
57	Apartamento Vista Mar Com 1 Quarto Em 50M² E 1 Vaga De Garagem No Itaigara. 712KHF	R$4.500,00	Salvador, Itaigara	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-vista-mar-com-1-quarto-em-50m-e-1-vaga-de-garagem-no-itaigara-712khf-1373618726
58	House Ondina, Apartamento 1 Quarto Em 37M² E Vagas Rotativas. 82GKHF	R$4.200,00	Salvador, Ondina	https://ba.olx.com.br/grande-salvador/imoveis/house-ondina-apartamento-1-quarto-em-37m-e-vagas-rotativas-82gkhf-1373618640
59	AC , SUA CASA PROPIA	R$65.000,00	Salvador, Boca do Rio	https://ba.olx.com.br/grande-salvador/imoveis/ac-sua-casa-propia-1373618465
60	Casa ampla com vista privilegiada	R$3.000,00	Salvador, Fazenda Grande do Retiro	https://ba.olx.com.br/grande-salvador/imoveis/casa-ampla-com-vista-privilegiada-1373618388
61	House Ondina, Apartamento 1 Quarto Em 37M² E Vagas Rotativas. 13EDBEH	R$4.200,00	Salvador, Ondina	https://ba.olx.com.br/grande-salvador/imoveis/house-ondina-apartamento-1-quarto-em-37m-e-vagas-rotativas-13edbeh-1373618034
62	Casa 4 suítes Alphaville Litoral Norte	R$15.000,00	Parafuso, Camaçari	https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/imoveis/casa-4-suites-alphaville-litoral-norte-1373617821
63	House Ondina, Apartamento 1 Quarto Em 37M² E Vagas Rotativas. 1F48KHF	R$4.200,00	Salvador, Ondina	https://ba.olx.com.br/grande-salvador/imoveis/house-ondina-apartamento-1-quarto-em-37m-e-vagas-rotativas-1f48khf-1373617408
64	CARNAVAL - 2025 - BARRA	R$13.000,00	Salvador, Barra	https://ba.olx.com.br/grande-salvador/imoveis/carnaval-2025-barra-1373617367
65	Apartamento 1 Quarto Em 45M², Vista Mar E 1 Vaga De Garagem Na Pituba. 1F4TBEH	R$3.500,00	Salvador, Pituba	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-1-quarto-em-45m-vista-mar-e-1-vaga-de-garagem-na-pituba-1f4tbeh-1373617177
66	House Ondina, Apartamento 1 Quarto Em 37M² E Vagas Rotativas. SEKHF	R$4.200,00	Salvador, Ondina	https://ba.olx.com.br/grande-salvador/imoveis/house-ondina-apartamento-1-quarto-em-37m-e-vagas-rotativas-sekhf-1373617130
67	Apartamento para alugar em jardim das margaridas	R$500,00	Salvador, Itapuã	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-alugar-em-jardim-das-margaridas-1373616618
68	Apartamento 1 Quarto Em 45M², Vista Mar E 1 Vaga De Garagem Na Pituba. 1P3QKHF	R$3.500,00	Salvador, Pituba	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-1-quarto-em-45m-vista-mar-e-1-vaga-de-garagem-na-pituba-1p3qkhf-1373616506
69	CASAS COM PISCINA EM CALDAS DO JORRO ZAP: *	R$300,00	Tucano, Caldas do Jorro	https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/casas-com-piscina-em-caldas-do-jorro-zap-1338713617
70	SEU IMÓVEL	R$70.000,00	Salvador, Boca do Rio	https://ba.olx.com.br/grande-salvador/imoveis/seu-imovel-1373615447
71	Aluga-se Apartamentos Kitnets em Dias D'avila Mobiliados	R$800,00	Dias D'Ávila	https://ba.olx.com.br/grande-salvador/imoveis/aluga-se-apartamentos-kitnets-em-dias-d-avila-mobiliados-1342925481
72	Imóvel para aluguel tem 1300 metros quadrados com 4 quartos	R$1.200,00	Camaçari, Barra do Jacuípe (Monte Gordo)	https://ba.olx.com.br/grande-salvador/imoveis/imovel-para-aluguel-tem-1300-metros-quadrados-com-4-quartos-1373614984
73	ALUGO MOBILIADO 650	R$650,00	Lauro de Freitas, Caji	https://ba.olx.com.br/grande-salvador/imoveis/alugo-mobiliado-650-1373614447
74	Apartamento no condomínio Berlim para locação para locação	R$900,00	Camaçari, Jardim Limoeiro	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-no-condominio-berlim-para-locacao-para-locacao-1373613766
75	SALVADOR PRIME -2/4 - SEMIMOBILIADO - SUITE	R$3.500,00	Salvador, Caminho das Árvores	https://ba.olx.com.br/grande-salvador/imoveis/salvador-prime-2-4-semimobiliado-suite-1373613688
76	Imóvel para aluguel tem 35 metros quadrados com 2 quartos em Caminho das Árvores - Salvado	R$400,00	Salvador, Caminho das Árvores	https://ba.olx.com.br/grande-salvador/imoveis/imovel-para-aluguel-tem-35-metros-quadrados-com-2-quartos-em-caminho-das-arvores-salvado-1373613380
77	CARNAVAL 2025 - BARRA/ONDINA - CIRCUITO	R$20.000,00	Salvador, Barra	https://ba.olx.com.br/grande-salvador/imoveis/carnaval-2025-barra-ondina-circuito-1373613371
78	Estudio no Centro (Mulheres apenas)	R$650,00	Vitória da Conquista, Centro	https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/imoveis/estudio-no-centro-mulheres-apenas-1373613128
79	EXCELENTE MORADA NO TORORÓ(RUA JOSÉ DUARTE,ANTES DO MARTAG- 03 QUARTOS COM SUÍTE E VARANDA	R$2.200,00	Salvador, Nazaré	https://ba.olx.com.br/grande-salvador/imoveis/excelente-morada-no-tororo-rua-jose-duarte-antes-do-martag-03-quartos-com-suite-e-varanda-1364674535
80	Casa para Alugar Barreiras-BA	R$1.500,00	Barreiras, Santa Luzia	https://ba.olx.com.br/regiao-de-vitoria-da-conquista-e-barreiras/imoveis/casa-para-alugar-barreiras-ba-1372892237
81	Alugo casa no Uruguai	R$1.500,00	Salvador, Uruguai	https://ba.olx.com.br/grande-salvador/imoveis/alugo-casa-no-uruguai-1373612482
82	Excelente sala comercial ou apartamento 1 quarto!	R$800,00	Feira de Santana, Brasília	https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/excelente-sala-comercial-ou-apartamento-1-quarto-1371929879
83	condominio royal PArk las palmas - Abrantes Casa em Condomínio 3/4 suíte 130m² proximo ped	R$2.400,00	Camaçari, Catu de Abrantes (Abrantes)	https://ba.olx.com.br/grande-salvador/imoveis/condominio-royal-park-las-palmas-abrantes-casa-em-condominio-3-4-suite-130m-proximo-ped-1373609908
84	ALUGA-SE CASA EM VILAS DO ATLÂNTICO PARA COMERCIO COM 08 SALAS	R$18.000,00	Lauro de Freitas, Vilas do Atlântico	https://ba.olx.com.br/grande-salvador/imoveis/aluga-se-casa-em-vilas-do-atlantico-para-comercio-com-08-salas-1373609663
85	R$ 550 quarto e sala na comunidade Alto de Ondina	R$550,00	Salvador, Rio Vermelho	https://ba.olx.com.br/grande-salvador/imoveis/r-550-quarto-e-sala-na-comunidade-alto-de-ondina-1360566107
86	Jauá Casa em Condomínio Aluguel 3/4 2 suítes PISCINA	R$1.800,00	Camaçari, Jauá (Abrantes)	https://ba.olx.com.br/grande-salvador/imoveis/jaua-casa-em-condominio-aluguel-3-4-2-suites-piscina-1373609001
87	Apartamento para alugar no Condomínio Máximo club	----	Salvador, Cabula	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-alugar-no-condominio-maximo-club-1373607614
88	Aluga-se casas em um prédio com ótima localização	----	Salvador, Periperi	https://ba.olx.com.br/grande-salvador/imoveis/aluga-se-casas-em-um-predio-com-otima-localizacao-1373607265
89	ALUGO APARTAMENTO IAPI [JARDIM VERA CRUZ]	R$850,00	Salvador, IAPI	https://ba.olx.com.br/grande-salvador/imoveis/alugo-apartamento-iapi-jardim-vera-cruz-1373606708
90	CARNAVAL 2025 - BARRA	R$25.000,00	Salvador, Barra	https://ba.olx.com.br/grande-salvador/imoveis/carnaval-2025-barra-1373606239
91	Aluguel de apartamento no Candeal	R$3.500,00	Salvador, Candeal	https://ba.olx.com.br/grande-salvador/imoveis/aluguel-de-apartamento-no-candeal-1373606212
92	Apartamento para alugar	R$1.800,00	Salvador, Jardim Cajazeiras	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-para-alugar-1373605564
93	Casa em excelente localização 2/4	R$850,00	Feira de Santana, Brasília	https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/casa-em-excelente-localizacao-2-4-1373605514
94	Apartamento com 3/4 mobiliado no Villa do Mar.	R$5.150,00	Lauro de Freitas, Buraquinho	https://ba.olx.com.br/grande-salvador/imoveis/apartamento-com-3-4-mobiliado-no-villa-do-mar-1327437061
95	Casa Alto Padrão,com 3/4, suíte,armários planejados, Morada das Árvores, pintura nova!	R$2.000,00	Feira de Santana, Campo Limpo	https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/casa-alto-padrao-com-3-4-suite-armarios-planejados-morada-das-arvores-pintura-nova-1295329249
96	Casa de Alto Padrão, 3/4 a 200m da Av. Maria Quitéria e 300m do Mercantil Rodrigues!	R$3.550,00	Feira de Santana, Queimadinha	https://ba.olx.com.br/regiao-de-feira-de-santana-e-alagoinhas/imoveis/casa-de-alto-padrao-3-4-a-200m-da-av-maria-quiteria-e-300m-do-mercantil-rodrigues-1371892671
97	Pousada Quarto Individual	R$600,00	Salvador, Nazaré	https://ba.olx.com.br/grande-salvador/imoveis/pousada-quarto-individual-1326927220
98	Casa no circuito do Carnaval, 02 suites - Tudo a pé	R$1.450,00	Salvador, Saúde	https://ba.olx.com.br/grande-salvador/imoveis/casa-no-circuito-do-carnaval-02-suites-tudo-a-pe-1373596002
99	Casa Mobiliada em Condomínio Fechado com 2 Suítes	R$3.000,00	Camaçari, Catu de Abrantes (Abrantes)	https://ba.olx.com.br/grande-salvador/imoveis/casa-mobiliada-em-condominio-fechado-com-2-suites-1373595959
100	Ap 1/4 térreo - Uruguai - próx ao Assaí	R$550,00	Salvador, Uruguai	https://ba.olx.com.br/grande-salvador/imoveis/ap-1-4-terreo-uruguai-prox-ao-assai-1373595183
101	1/4, 1 banheiro, Itabuna , Pontalzinho	R$550,00	Itabuna, Centro	https://ba.olx.com.br/sul-da-bahia/imoveis/1-4-1-banheiro-itabuna-pontalzinho-1373594524
102	Lindo Imbui 02 Suítes Mobiliado Novo Ideal Universitários ou Família ao lado Metrô Imbui	R$3.200,00	Salvador, Imbuí	https://ba.olx.com.br/grande-salvador/imoveis/lindo-imbui-02-suites-mobiliado-novo-ideal-universitarios-ou-familia-ao-lado-metro-imbui-1112895309
